Year,Kilometer,Engine,Seating Capacity,Fuel Tank Capacity,Price,Make-Honda,Make-Maruti Suzuki,Make-Hyundai,Make-Toyota,Make-Skoda,Make-Nissan,Make-Renault,Make-Tata,Make-Volkswagen,Make-Ford,Make-Audi,Make-Mahindra,Make-MG,Make-BMW,Make-Mercedes-Benz,Make-Jeep,Make-Kia,Make-Volvo,Make-Isuzu,Make-Fiat,Make-MINI,Make-Land Rover,Make-Mitsubishi,Make-Datsun,Make-Chevrolet,Make-Ssangyong,Fuel Type-Petrol,Fuel Type-Diesel,Fuel Type-CNG,Fuel Type-LPG,Fuel Type-CNG + CNG,Fuel Type-Petrol + CNG,Transmission-Manual,Transmission-Automatic,Owner-First,Owner-Second,Owner-Fourth,Owner-Third,Owner-UnRegistered Car,Owner-4 or More
0.6666666666666666,0.04328798639591878,0.24168421052631578,0.25,0.2857142857142857,505000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.4666666666666667,0.0372111633490047,0.26273684210526316,0.25,0.38571428571428573,450000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0.26666666666666666,0.03320996298889667,0.24126315789473685,0.25,0.2857142857142857,220000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.8,0.0184555366609983,0.24126315789473685,0.25,0.3142857142857143,799000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7333333333333333,0.03421026307892368,0.7448421052631579,0.75,0.5714285714285714,1950000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0.6666666666666666,0.036368410523156945,0.3153684210526316,0.25,0.4,675000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6666666666666666,0.027708312493748125,0.4943157894736842,0.25,0.5,1390000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.5333333333333333,0.042212663799139745,0.35242105263157897,0.25,0.5,575000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0.6666666666666666,0.009843453035910773,0.24126315789473685,0.25,0.42857142857142855,591000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.7333333333333333,0.010973792137641292,0.15789473684210525,0.25,0.18571428571428572,459999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
